Trial_ID,Title,Year,Background,Health_Condition,Study_Type,Intervention,Study_Phase,Sample_Size,Primary_Endpoint,Trial_Outcome (Met/Not met),Outcome_Summary,Source
ISRCTN16907234,Clinical comparison and validation of openly available deep learning methods for automated metabolic tumor volume delineation on PET-CT of head and neck cancer,2022,"The exact location, size and activity level of malignant tumors in the head and neck region can be difficult to determine accurately. A correct assessment these tumors on PET-CT images is essential in order to secure successful treatment. The aim of this study is to investigate whether or not artificial intelligence tools can assist in the assessment of head and neck tumors.",Head & neck cancer,Observational ,Device,Phase 2,1184,Determine if Artificial intelligence can be used for automated tumor delineation of head and neck cancer,Met,"Deep learning can be used for automated PET GTV–derived
biomarker extraction and large imaging biomarker studies. Furthermore, deep learning can delineate PET GTVs similar to clinical volumes, holding potential for radiotherapy planning.",https://doi.org/10.1186/ISRCTN16907234
ISRCTN82505455,Activity as medicine in oncology for head and neck,2024,"We aim to increase head and neck cancer (HaNC) patients’ engagement in physical exercise. There are many proven benefits of exercise following cancer treatment, aiding recovery, reducing risk of cancer returning, improving physical and psychological well-being and quality of life (QOL). However, the vast majority of HaNC patients have low levels of physical activity both pre- and post-treatment. There are multiple reasons for this; HaNC treatment is often aggressive with severe side-effects e.g. profoundly dry mouth, breathing through a hole in the neck, shoulder dysfunction, poor swallowing making it difficult to exercise; apprehension about participating in groups due to altered facial appearance; many are from low socio-economic areas, with high risk smoking and alcohol behaviours and other health problems; HaNC services are regional, requiring long journeys to access specialist support. Our survey of 400 HaNC patients found a desire to participate in an exercise programme, if tailored to individual needs and preferences. We will develop a collaborative, flexible, patient-centred personalised programme, with tools to support HaNC-specific barriers to exercise, and test whether this is feasible and
acceptable.",Head and Neck Cancer,Interventional,Behavioural,Phase 2,76,Increased engagement in physical exercise,NA,"People with HNC face unique challenges that can make it harder for them to exercise. Evidence taken from exercise oncology research on other cancer sites cannot simply be extrapolated to HNC. This study suggests that ACTIOHN is a feasible and acceptable intervention, but some adjustments are required to improve acceptability, recruitment processes, retention and adherence. A personalised, remotely delivered approach was valued by patients. Overall, patients were positive about the programme, for both their physical and mental well-being. As the prescribed focus of this study was feasibility and acceptability, no definitive conclusions can be made regarding the benefitofexercise.",https://doi.org/10.1186/ISRCTN82505455
ISRCTN58338025,A study to identify increased production of aldosterone by the adrenal gland using PET/CT scanning techniques,2024,"Primary hyperaldosteronism (PHA) is a hormonal disorder that causes high blood pressure, often due to a non-cancerous tumor overproducing the hormone aldosterone. Current methods for diagnosing this tumor are invasive and often inconclusive. To improve diagnosis, researchers have developed a new, radioactively labeled molecule that targets aldosterone synthase (CYP11B2), the main enzyme controlling aldosterone secretion. After successful animal trials, the goal is to test this molecule as a tracer in human patients using PET/CT scans. The study aims to measure the enzyme's levels in the body and validate this new imaging technique against existing methods, potentially offering a more reliable and less invasive diagnostic tool.",Aldosterone-producing adenoma,Interventional,Procedure/Surgery,Phase 1,17,Efficacy of the procedure,Met,"The scan with the [18F]AldoView dye was found to be safe, with no side effects reported. The specific adrenal glands that were overproducing aldosterone were clearly identified, and the optimal time for the scan was determined to be approximately 35–45 minutes after the dye was administered. The scan's results were shown to closely match those of adrenal vein sampling (AVS), a test already in use, but the new scan was noted to be less invasive, much quicker, and potentially easier to implement. The accuracy of the PET/CT scan was further confirmed by the alignment of its results with laboratory tests performed on the removed adrenal glands. With this new method, the problematic adrenal gland could be identified quickly and safely, potentially allowing more patients to be treated with the correct surgery and for their reliance on blood pressure medication to be reduced. It is also suggested that the scan has the potential to be a more comfortable and accessible diagnostic test.",https://doi.org/10.1186/ISRCTN58338025
ISRCTN24104022,Retrospective analysis of neoadjuvant chemotherapy on postoperative treatment in patients with cervical cancer,2021,"Although radical surgery and radiation therapy were feasible treatment plans for patients with locally advanced cervical cancer (LACC), the optimal treatment plan remained controversial. Neoadjuvant chemotherapy (NACT) followed by radical surgery has been widely used for patients with LACC to reduce tumor volume, improve the rate of resection and control the potential micro-metastasis. However, there has been no study reporting the effect of NACT with carboplatin-paclitaxel plan. Therefore we performed this retrospective study to investigate the clinical effects of NACT regiment carboplatin-paclitaxel.",Cervical cancer,Observational,Mixed,Phase 3,414,Investigate the clinical effects of NACT regiment carboplatin-paclitaxel,Met,"As the age at which women develop cervical cancer is decreasing and radiation may have serious implications that reduce the quality of patients’ life, reducing radiation is an important challenge for patients with LACC. In this study, our results revealed that NACT with paclitaxel and carboplatin significantly reduced the clinicopathological risk factors and cumulative adjuvant radiation rate when compared to the PRS group, without compromising the survival. These findings may provide important help in the management of LACC to improve the quality of life.",https://doi.org/10.1186/ISRCTN24104022
ISRCTN10972467,Outcomes of two-stage liver resection in the treatment of a rare type of primary liver cancer,2022,"Different approaches have been introduced for the treatment of patients with liver cancer. However, in some cases, surgical treatment is considered the best and only option to eliminate the disease and guarantee the patients a better therapeutic outcome. Cholangiocarcinoma is a liver cancer originating from biliary structures which can only be treated efficiently by liver surgery. Liver surgery is a major surgery with a wide range of risks, which might result in different complications and even death. Particularly in patients with cholangiocarcinoma, a large volume of the liver is removed during surgery to prevent the recurrence of the disease. This can lead to liver dysfunction and even more dangerous complications. Associating liver partition and portal vein ligation for staged hepatectomy (ALPPS) is a new technique for liver surgery which involves two stages of surgery and is believed to prevent hazardous complications after high-volume liver resection due to its stepwise process that provides the liver enough time for recovery. However, the outcomes of ALPPS in the treatment of patients with cholangiocarcinoma are not well-understood. This study evaluates the impact of ALPPS in the treatment of patients with cholangiocarcinoma.",Cholangiocarcinoma,Interventional,Procedure/Surgery,Phase 1/Phase 2,30,"Postoperative major morbidity, 90-day mortality, One- and three-year disease-free and overall survival rates",NA,"The ALPPS procedure was modified by externalizing the biliary flow, delaying biliary reconstruction to the second stage, and employing interstage antibiotic therapy. Our experience of extended liver resection strongly suggests that using the modified ALPPS procedure in patients with cholangiocarcinoma with insufficient RLV produces better outcomes, particularly in patients with PHCC. The key to this improvement was minimizing the first stage of the operation to reduce patient risk during the second stage. However, future studies are needed to define benchmarks for the ALPPS procedure among cholangiocarcinoma patients.",https://doi.org/10.1186/ISRCTN10972467
ISRCTN12377415,Prehabilitation of swallowing difficulties in people with head and neck cancer: A pilot cluster randomised trial and process evaluation,2023,"People with cancer in the mouth or throat (head and neck cancer) usually have difficulty in swallowing food and drink at some stage before, during and/or after cancer treatment. Dysphagia (difficulty in swallowing) may persist for months or years after treatment due to side-effects of surgery and chemo/radiotherapy.
The aim of this research is to determine whether a pre-treatment swallowing intervention package improves patients’ ability to eat and drink thus increasing their quality of life. The SIP SMART prehabilitation intervention comprises multiple components including: tailored information, educational counseling, personalized exercises, and specific strategies to help engage with advice and exercises.",Head and neck cancer,Interventional,Behavioural,Phase 1,72,Improved swallowing,Met,"Results from this current pilot study affirm and extend findings from the initial preliminary testing of SIP SMART undertaken to assess the acceptability of the intervention to patients and the feasibility of the trial processes at a single NHS site. Both the preliminary and pilot studies provide positive indicators for this theory- based intervention developed using the Medical Research Council guidelines for complex interventions and the Behaviour Change Wheel. Like swallowing prehabilitation RCTs conducted in Denmark, the Netherlands and the USA,the potential short to medium term benefit of prophylactic exercises on post- treatment clinical swallow measures and QoL is also noted in SIP SMART. The protocol for one other UK- based non- randomised feasibility study of a swallowing intervention preradiotherapy has been published. However, this study did not progress beyond feasibility, with very poor uptake of the electronic swallowing intervention package reported.",https://doi.org/10.1186/ISRCTN12377415
ISRCTN16815568,EPI-SURE: A comparative study of epigenetic analysis and ultrasonography for endometrial cancer detection in women presenting with abnormal vaginal bleeding,2023,"This trial aims to improve the diagnosis of womb (endometrial) cancer. It is the fourth most common cancer in the UK and its incidence has increased by almost 60% over the last 30 years.
There is currently no screening programme for womb cancer, and clinical assessment is led by the symptom of abnormal vaginal bleeding, which is considered a red flag. Identifying women with womb cancer with current approaches is difficult. Transvaginal ultrasound, the gold standard clinical approach, results in many women undergoing invasive confirmatory diagnostics in order to detect each case of womb cancer.
The novel WID™-qEC test, which is a molecular test based on cervical smear specimens, has been shown to be highly sensitive and specific. The performance of the WID™-qEC will be directly compared with ultrasound triage and the positive predictive value (the probability that a woman with a positive test result has womb cancer) and negative predictive value (the probability that a woman with a negative test does not have womb cancer) of the two approaches will be compared.",Endometrial cancer,Observational,Other,Phase 3,400,Assess WID-qEC test performance against sonography,Met,"The WID-qEC test demonstrated improved performance compared to the standard imaging tests for triaging women with abnormal uterine bleeding. By applying a higher threshold to the WID-qEC test results, the specificity could be increased to 97.3% without a change in sensitivity.
The study concluded that using the WID-qEC test to triage women could reduce the number of false positive results and decrease the number of patients requiring more invasive histological assessments.",https://doi.org/10.1186/ISRCTN16815568
ISRCTN11560295,Identification of gene markers associated with prognosis for patients with prostate cancer,2021,"Prostate cancer is a public health priority in men and the impact of this disease will be more pronounced with the aging of the world’s population. The aim of this study is to identify gene markers associated with the prognosis of prostate cancer to guide clinical practice.",Prostate cancer,Observational,Other,Phase 3,3000,Prognosis of prostate cancer predicted by gene markers,Met,"It was found that ARGPI could predict BCR, metastasis, as well as chemoresistance in PCa patients who underwent radical radiotherapy or prostatectomy. PI-103 might be a potentially sensitive drug.",https://doi.org/10.1186/ISRCTN11560295
ISRCTN15479959,Treatment of skin cancer using gene therapy with intratumoral gene electrotransfer of a plasmid coding for IL-12,2023,"Electroporation is a local drug delivery method that uses an electric pulse to deliver drugs such as bleomycin or cisplatin (called electrochemotherapy) or genetic material such as RNA or DNA (called gene electrotransfer). In this study, the researchers want to use gene electrotransfer to deliver the medicine phIL12 to the tumor site (intratumoral phIL12 gene electrotransfer). phIL12 is a medicine consisting of plasmid DNA which can produce IL-12 protein in the body that can help the immune system to fight against cancer. Intratumoral gene electrotransfer with a plasmid coding IL-12 has been proven to be safe and effective for the treatment of melanoma skin metastases in the USA. EU directives recommend the use of plasmids without the gene for antibiotic resistance. For this purpose, the researchers constructed a plasmid coding for IL-12 in accordance with the EU regulatory requirements. The aim of this study is to assess the safety and tolerability of the constructed plasmid, phIL12, in the treatment of basal cell carcinoma in patients with tumors in the head and neck region, where surgery is also feasible.",Skin cancer,Interventional,Drug,Phase 1,9,To test drug safety & efficacy,Met,"The results of this phase I clinical trial on basal cell carcinoma have demonstrated the feasibility and safety of the phIL12 plasmid using GET for delivery. We were able to demonstrate that phIL12 GET induced local IL-12 production, which was accompanied with IFN-γ expression. Triggering of the immune response was demonstrated by increased infiltration of immune cells and some antitumor effect. Based on these data, we would recommend the use of a concentration of 2 mg/ml of the plasmid in future combined modality therapies.",https://doi.org/10.1186/ISRCTN15479959
ISRCTN55166064,Evaluating the safety and acceptability of a progressive exercise training intervention for chronic lymphocytic leukaemia: a randomised-controlled pilot trial,2023,"This pilot study aims to determine if exercise is a safe and acceptable intervention for patients with Chronic Lymphocytic Leukaemia (CLL) who are not yet receiving treatment. While exercise is believed to have anti-tumour effects, this is difficult to confirm in humans because most cancer patients undergo treatment, which masks the effects of exercise alone. By studying CLL patients on a ""watch-and-wait"" basis, researchers can isolate the impact of an exercise program. Since CLL is a blood cancer, tumour cells can be easily monitored through blood samples to assess the effects of exercise and understand the underlying mechanisms. The study's findings will help determine whether a larger, more definitive trial is feasible and worthwhile.",Chronic lymphocytic leukaemia,Interventional,Behavioural,Phase 1,40,To test the effect of intensive exercise on cancer patients,Met,"The primary finding of this studywas that 16weeks of personalised, progressive, home-based exercise training— consistingof supervisedaerobic and resistance exercise,withan additional unsupervisedwalk—was feasible in people with treatment-naïve CLL who passed pre-trial screening, and we preliminarily conclude the exercise program was safe.The aerobic and resistance components of the exercise intervention were deemed feasible as >70% of participants completed >75%of sessions at the prescribed intensity. Participants complied to the duration of the unsupervised walk; however, participants did not comply to the intensity as only 62% of participantsperformed the home-based walks within the prescribed intensity for 75% of the sessions.",https://doi.org/10.1186/ISRCTN55166064
